id,stdorToU,datetime,Ppower
MAC004022,Std,2012-07-09 00:30:00.0000000,0.012861736334405145
MAC004022,Std,2012-07-09 01:00:00.0000000,0.03031694993109784
MAC004022,Std,2012-07-09 01:30:00.0000000,0.035829122645842905
MAC004022,Std,2012-07-09 02:00:00.0000000,0.013780431786862654
MAC004022,Std,2012-07-09 02:30:00.0000000,0.017455213596692696
MAC004022,Std,2012-07-09 03:00:00.0000000,0.03674781809830041
MAC004022,Std,2012-07-09 03:30:00.0000000,0.026182820395039046
MAC004022,Std,2012-07-09 04:00:00.0000000,0.011024345429490124
MAC004022,Std,2012-07-09 04:30:00.0000000,0.026642168121267802
MAC004022,Std,2012-07-09 05:00:00.0000000,0.03353238401469912
MAC004022,Std,2012-07-09 05:30:00.0000000,0.01423977951309141
MAC004022,Std,2012-07-09 06:00:00.0000000,0.012861736334405145
MAC004022,Std,2012-07-09 06:30:00.0000000,0.036288470372071654
MAC004022,Std,2012-07-09 07:00:00.0000000,0.04823151125401929
MAC004022,Std,2012-07-09 07:30:00.0000000,0.22278364722094623
MAC004022,Std,2012-07-09 08:00:00.0000000,0.3146531924666973
MAC004022,Std,2012-07-09 08:30:00.0000000,0.03812586127698668
MAC004022,Std,2012-07-09 09:00:00.0000000,0.033073036288470366
MAC004022,Std,2012-07-09 09:30:00.0000000,0.033073036288470366
MAC004022,Std,2012-07-09 10:00:00.0000000,0.022048690858980247
MAC004022,Std,2012-07-09 10:30:00.0000000,0.011024345429490124
MAC004022,Std,2012-07-09 11:00:00.0000000,0.022048690858980247
MAC004022,Std,2012-07-09 11:30:00.0000000,0.034451079467156635
MAC004022,Std,2012-07-09 12:00:00.0000000,0.017455213596692696
MAC004022,Std,2012-07-09 12:30:00.0000000,0.010564997703261369
MAC004022,Std,2012-07-09 13:00:00.0000000,0.03031694993109784
MAC004022,Std,2012-07-09 13:30:00.0000000,0.03169499310978411
MAC004022,Std,2012-07-09 14:00:00.0000000,0.008727606798346348
MAC004022,Std,2012-07-09 14:30:00.0000000,0.013321084060633901
MAC004022,Std,2012-07-09 15:00:00.0000000,0.03399173174092788
MAC004022,Std,2012-07-09 15:30:00.0000000,0.024345429490124023
MAC004022,Std,2012-07-09 16:00:00.0000000,0.022048690858980247
MAC004022,Std,2012-07-09 16:30:00.0000000,0.037666513550757924
MAC004022,Std,2012-07-09 17:00:00.0000000,0.1208084519981626
MAC004022,Std,2012-07-09 17:30:00.0000000,0.10702802021129995
MAC004022,Std,2012-07-09 18:00:00.0000000,0.03353238401469912
MAC004022,Std,2012-07-09 18:30:00.0000000,0.011024345429490124
MAC004022,Std,2012-07-09 19:00:00.0000000,0.021129995406522738
MAC004022,Std,2012-07-09 19:30:00.0000000,0.025264124942581533
MAC004022,Std,2012-07-09 20:00:00.0000000,0.011024345429490124
MAC004022,Std,2012-07-09 20:30:00.0000000,0.030776297657326597
MAC004022,Std,2012-07-09 21:00:00.0000000,0.014699127239320165
MAC004022,Std,2012-07-09 21:30:00.0000000,0.1382636655948553
MAC004022,Std,2012-07-09 22:00:00.0000000,0.09370693615066604
MAC004022,Std,2012-07-09 22:30:00.0000000,0.017914561322921452
MAC004022,Std,2012-07-09 23:00:00.0000000,0.021129995406522738
MAC004022,Std,2012-07-09 23:30:00.0000000,0.027101515847496552
MAC004022,Std,2012-07-10 00:00:00.0000000,0.011024345429490124
MAC004022,Std,2012-07-10 00:30:00.0000000,0.028938906752411574
MAC004022,Std,2012-07-10 01:00:00.0000000,0.01699586587046394
MAC004022,Std,2012-07-10 01:30:00.0000000,0.009186954524575103
MAC004022,Std,2012-07-10 02:00:00.0000000,0.035829122645842905
MAC004022,Std,2012-07-10 02:30:00.0000000,0.010105649977032612
MAC004022,Std,2012-07-10 03:00:00.0000000,0.01699586587046394
MAC004022,Std,2012-07-10 03:30:00.0000000,0.02939825447864033
MAC004022,Std,2012-07-10 04:00:00.0000000,0.008727606798346348
MAC004022,Std,2012-07-10 04:30:00.0000000,0.024345429490124023
MAC004022,Std,2012-07-10 05:00:00.0000000,0.022048690858980247
MAC004022,Std,2012-07-10 05:30:00.0000000,0.008727606798346348
MAC004022,Std,2012-07-10 06:00:00.0000000,0.036288470372071654
MAC004022,Std,2012-07-10 06:30:00.0000000,0.036288470372071654
MAC004022,Std,2012-07-10 07:00:00.0000000,0.01515847496554892
MAC004022,Std,2012-07-10 07:30:00.0000000,0.055121727147450617
MAC004022,Std,2012-07-10 08:00:00.0000000,0.058337161231051905
MAC004022,Std,2012-07-10 08:30:00.0000000,0.10381258612769867
