datetime,id,stdorToU,Ppower
2012-07-10 11:30:00,MAC004015,Std,0.055248621132538
2012-07-10 12:00:00,MAC004015,Std,0.049298769625957
2012-07-10 12:30:00,MAC004015,Std,0.1130471786250394
2012-07-10 13:00:00,MAC004015,Std,0.11602210437833
2012-07-10 13:30:00,MAC004015,Std,0.1109222316584034
2012-07-10 14:00:00,MAC004015,Std,0.1138971574116939
2012-07-10 14:30:00,MAC004015,Std,0.1500212558445072
2012-07-10 15:00:00,MAC004015,Std,0.14959626645118
2012-07-10 15:30:00,MAC004015,Std,0.0548236317392108
2012-07-10 16:00:00,MAC004015,Std,0.0764980907988988
2012-07-10 16:30:00,MAC004015,Std,0.1070973271184584
2012-07-10 17:00:00,MAC004015,Std,0.1066723377251312
2012-07-10 17:30:00,MAC004015,Std,0.0960476028919508
2012-07-10 18:00:00,MAC004015,Std,0.1929451845705561
2012-07-10 18:30:00,MAC004015,Std,0.3765406024879134
2012-07-10 19:00:00,MAC004015,Std,0.2741181586960544
2012-07-10 19:30:00,MAC004015,Std,0.338291557088464
2012-07-10 20:00:00,MAC004015,Std,0.3735656767346229
2012-07-10 20:30:00,MAC004015,Std,0.1733956724775041
2012-07-10 21:00:00,MAC004015,Std,0.1738206618708313
2012-07-10 21:30:00,MAC004015,Std,0.181045481557394
2012-07-10 22:00:00,MAC004015,Std,0.1831704285240301
2012-07-10 22:30:00,MAC004015,Std,0.2171695799902074
2012-07-10 23:00:00,MAC004015,Std,0.3272418328619563
2012-07-10 23:30:00,MAC004015,Std,0.3391415358751184
2012-07-11 00:00:00,MAC004015,Std,0.222269452710134
2012-07-11 00:30:00,MAC004015,Std,0.1738206618708313
2012-07-11 01:00:00,MAC004015,Std,0.1457713619112351
2012-07-11 01:30:00,MAC004015,Std,0.1525711922044705
2012-07-11 02:00:00,MAC004015,Std,0.1393965210113268
2012-07-11 02:30:00,MAC004015,Std,0.1296217649648009
2012-07-11 03:00:00,MAC004015,Std,0.1372715740446908
2012-07-11 03:30:00,MAC004015,Std,0.1563960967444155
2012-07-11 04:00:00,MAC004015,Std,0.03357416207285
2012-07-11 04:30:00,MAC004015,Std,0.027624310566269
2012-07-11 05:00:00,MAC004015,Std,0.0322991938928684
2012-07-11 05:30:00,MAC004015,Std,0.0399490029727583
2012-07-11 06:00:00,MAC004015,Std,0.0280492999595962
2012-07-11 06:30:00,MAC004015,Std,0.0318742044995412
2012-07-11 07:00:00,MAC004015,Std,0.0284742893529234
2012-07-11 07:30:00,MAC004015,Std,0.0318742044995412
2012-07-11 08:00:00,MAC004015,Std,0.0777730589788805
2012-07-11 08:30:00,MAC004015,Std,0.1708457361175408
2012-07-11 09:00:00,MAC004015,Std,0.137696563438018
2012-07-11 09:30:00,MAC004015,Std,0.0497237590192842
2012-07-11 10:00:00,MAC004015,Std,0.0458988544793393
2012-07-11 10:30:00,MAC004015,Std,0.0463238438726665
2012-07-11 11:00:00,MAC004015,Std,0.049298769625957
2012-07-11 11:30:00,MAC004015,Std,0.0458988544793393
2012-07-11 12:00:00,MAC004015,Std,0.0467488332659937
2012-07-11 12:30:00,MAC004015,Std,0.059073525672483
2012-07-11 13:00:00,MAC004015,Std,0.1189970301316205
2012-07-11 13:30:00,MAC004015,Std,0.1151721255916755
2012-07-11 14:00:00,MAC004015,Std,0.0633234196057551
2012-07-11 14:30:00,MAC004015,Std,0.0467488332659937
2012-07-11 15:00:00,MAC004015,Std,0.0637484089990824
2012-07-11 15:30:00,MAC004015,Std,0.2367190920832593
2012-07-11 16:00:00,MAC004015,Std,0.0828729316988071
2012-07-11 16:30:00,MAC004015,Std,0.0828729316988071
2012-07-11 17:00:00,MAC004015,Std,0.0463238438726665
2012-07-11 17:30:00,MAC004015,Std,0.0458988544793393
2012-07-11 18:00:00,MAC004015,Std,0.0505737378059387
2012-07-11 18:30:00,MAC004015,Std,0.0556736105258653
2012-07-11 19:00:00,MAC004015,Std,0.0467488332659937
2012-07-11 19:30:00,MAC004015,Std,0.1606459906776876
2012-07-11 20:00:00,MAC004015,Std,0.3204420025687209
2012-07-11 20:30:00,MAC004015,Std,0.7649809079889889
2012-07-11 21:00:00,MAC004015,Std,0.1891202800306111
2012-07-11 21:30:00,MAC004015,Std,0.0977475604652596
2012-07-11 22:00:00,MAC004015,Std,0.0824479423054799
2012-07-11 22:30:00,MAC004015,Std,0.0828729316988071
2012-07-11 23:00:00,MAC004015,Std,0.0412239711527399
2012-07-11 23:30:00,MAC004015,Std,0.0365490878261405
2012-07-12 00:00:00,MAC004015,Std,0.0318742044995412
2012-07-12 00:30:00,MAC004015,Std,0.03357416207285
2012-07-12 01:00:00,MAC004015,Std,0.0365490878261405
