Timestep,Bus,P(kW),Q(kvar)
2012-07-07 08:00:00,busload_004,0.0886,0.0351
2012-07-07 08:00:00,busload_005,0.1923,0.0883
2012-07-07 08:00:00,busload_006,0.1117,0.0419
2012-07-07 08:00:00,busload_007,0.0119,0.0052
2012-07-07 08:00:00,busload_008,0.0597,0.0299
2012-07-07 08:00:00,busload_009,0.0664,0.0226
2012-07-07 08:00:00,busload_010,0.1099,0.0373
2012-07-07 08:00:00,busload_011,0.0166,0.0068
2012-07-07 08:00:00,busload_012,0.1239,0.0321
2012-07-07 08:00:00,busload_013,0.0887,0.0267
2012-07-07 08:00:00,busload_014,0.2227,0.0908
2012-07-07 08:00:00,busload_015,0.2535,0.1192
2012-07-07 08:00:00,busload_016,0.0648,0.0324
2012-07-07 08:00:00,busload_017,0.1106,0.0521
2012-07-07 08:00:00,busload_018,0.0536,0.0219
2012-07-07 08:00:00,busload_019,0.0565,0.0231
2012-07-07 08:00:00,busload_020,0.1373,0.0687
2012-07-07 08:00:00,busload_021,0.0971,0.0293
2012-07-07 08:00:00,busload_022,0.0399,0.012
2012-07-07 08:00:00,busload_023,0.0355,0.0145
2012-07-07 08:00:00,busload_024,0.0888,0.0363
2012-07-07 08:00:00,busload_025,0.0889,0.0363
2012-07-07 08:00:00,busload_026,0.0166,0.0073
2012-07-07 08:00:00,busload_027,0.0429,0.0175
2012-07-07 08:00:00,busload_028,0.0442,0.0133
2012-07-07 08:00:00,busload_029,0.2214,0.0904
2012-07-07 08:00:00,busload_030,0.0243,0.0073
2012-07-07 08:00:00,busload_031,0.0616,0.0218
2012-07-07 08:30:00,vsource,0,0
2012-07-07 08:30:00,bus_001,0.0,0.0
2012-07-07 08:30:00,bus_002,0.0,0.0
2012-07-07 08:30:00,bus_003,1.7121,-0.0
2012-07-07 08:30:00,bus_004,0.0,0.0
2012-07-07 08:30:00,bus_005,0.0,0.0
2012-07-07 08:30:00,bus_006,0.0,0.0
2012-07-07 08:30:00,bus_007,1.7121,-0.0
2012-07-07 08:30:00,bus_008,0.0,0.0
2012-07-07 08:30:00,bus_009,0.0,0.0
2012-07-07 08:30:00,bus_010,0.0,0.0
2012-07-07 08:30:00,bus_011,1.7121,-0.0
2012-07-07 08:30:00,bus_012,0.0,0.0
2012-07-07 08:30:00,bus_013,0.0,0.0
2012-07-07 08:30:00,bus_014,0.0,0.0
2012-07-07 08:30:00,busload_001,0.3477,0.1346
2012-07-07 08:30:00,busload_002,0.1651,0.0733
2012-07-07 08:30:00,busload_003,0.1248,0.0528
2012-07-07 08:30:00,busload_004,0.1252,0.0494
2012-07-07 08:30:00,busload_005,0.187,0.0895
2012-07-07 08:30:00,busload_006,0.132,0.0496
2012-07-07 08:30:00,busload_007,0.0323,0.0142
2012-07-07 08:30:00,busload_008,0.0874,0.0438
2012-07-07 08:30:00,busload_009,0.0385,0.0131
2012-07-07 08:30:00,busload_010,0.0496,0.0169
2012-07-07 08:30:00,busload_011,0.0151,0.0062
2012-07-07 08:30:00,busload_012,0.3394,0.0879
2012-07-07 08:30:00,busload_013,0.0945,0.0285
2012-07-07 08:30:00,busload_014,0.3832,0.1563
2012-07-07 08:30:00,busload_015,0.1263,0.0594
2012-07-07 08:30:00,busload_016,0.0684,0.0342
2012-07-07 08:30:00,busload_017,0.1013,0.0477
2012-07-07 08:30:00,busload_018,0.0926,0.0379
2012-07-07 08:30:00,busload_019,0.0556,0.0227
2012-07-07 08:30:00,busload_020,0.1285,0.0643
2012-07-07 08:30:00,busload_021,0.1241,0.0374
2012-07-07 08:30:00,busload_022,0.0177,0.0053
2012-07-07 08:30:00,busload_023,0.0242,0.0099
2012-07-07 08:30:00,busload_024,0.0945,0.0386
2012-07-07 08:30:00,busload_025,0.6086,0.2485
2012-07-07 08:30:00,busload_026,0.01,0.0044
2012-07-07 08:30:00,busload_027,0.103,0.0421
2012-07-07 08:30:00,busload_028,0.0538,0.0162
2012-07-07 08:30:00,busload_029,0.292,0.1192
2012-07-07 08:30:00,busload_030,0.0278,0.0084
2012-07-07 08:30:00,busload_031,0.0959,0.0329
2012-07-07 09:00:00,vsource,0,0
2012-07-07 09:00:00,bus_001,0.0,0.0
2012-07-07 09:00:00,bus_002,0.0,0.0
2012-07-07 09:00:00,bus_003,2.2955,-0.0
2012-07-07 09:00:00,bus_004,0.0,0.0
2012-07-07 09:00:00,bus_005,0.0,0.0
2012-07-07 09:00:00,bus_006,0.0,0.0
2012-07-07 09:00:00,bus_007,2.2954,-0.0
2012-07-07 09:00:00,bus_008,0.0,0.0
2012-07-07 09:00:00,bus_009,0.0,0.0
2012-07-07 09:00:00,bus_010,0.0,0.0
2012-07-07 09:00:00,bus_011,2.2954,-0.0
2012-07-07 09:00:00,bus_012,0.0,0.0
2012-07-07 09:00:00,bus_013,0.0,0.0
2012-07-07 09:00:00,bus_014,0.0,0.0
2012-07-07 09:00:00,busload_001,0.3997,0.1562
2012-07-07 09:00:00,busload_002,0.1508,0.0673
2012-07-07 09:00:00,busload_003,0.1623,0.0698
2012-07-07 09:00:00,busload_004,0.1226,0.0491
2012-07-07 09:00:00,busload_005,0.1788,0.0855
2012-07-07 09:00:00,busload_006,0.1218,0.0458
2012-07-07 09:00:00,busload_007,0.0128,0.0056
2012-07-07 09:00:00,busload_008,0.1635,0.082
2012-07-07 09:00:00,busload_009,0.062,0.0211
2012-07-07 09:00:00,busload_010,0.0422,0.0144
2012-07-07 09:00:00,busload_011,0.1459,0.0596
2012-07-07 09:00:00,busload_012,0.1033,0.0268
2012-07-07 09:00:00,busload_013,0.1006,0.0303
2012-07-07 09:00:00,busload_014,0.1098,0.0448
2012-07-07 09:00:00,busload_015,0.0918,0.0432
2012-07-07 09:00:00,busload_016,0.1724,0.0862
2012-07-07 09:00:00,busload_017,0.1113,0.0525
2012-07-07 09:00:00,busload_018,0.0463,0.0189
2012-07-07 09:00:00,busload_019,0.0723,0.0296
2012-07-07 09:00:00,busload_020,0.0651,0.0326
2012-07-07 09:00:00,busload_021,0.1214,0.0366
2012-07-07 09:00:00,busload_022,0.0687,0.0207
2012-07-07 09:00:00,busload_023,0.0507,0.0207
2012-07-07 09:00:00,busload_024,0.0369,0.0151
2012-07-07 09:00:00,busload_025,0.5247,0.2144
2012-07-07 09:00:00,busload_026,0.0371,0.0164
2012-07-07 09:00:00,busload_027,0.0635,0.026
2012-07-07 09:00:00,busload_028,0.0472,0.0142
2012-07-07 09:00:00,busload_029,0.2181,0.0892
2012-07-07 09:00:00,busload_030,0.0265,0.008
2012-07-07 09:00:00,busload_031,0.0595,0.021
2012-07-07 09:30:00,vsource,0,0
2012-07-07 09:30:00,bus_001,0.0,0.0
2012-07-07 09:30:00,bus_002,0.0,0.0
2012-07-07 09:30:00,bus_003,2.8183,-0.0
2012-07-07 09:30:00,bus_004,0.0,0.0
2012-07-07 09:30:00,bus_005,0.0,0.0
2012-07-07 09:30:00,bus_006,0.0,0.0
2012-07-07 09:30:00,bus_007,2.8182,-0.0
2012-07-07 09:30:00,bus_008,0.0,0.0
2012-07-07 09:30:00,bus_009,0.0,0.0
2012-07-07 09:30:00,bus_010,0.0,0.0
2012-07-07 09:30:00,bus_011,2.8182,-0.0
2012-07-07 09:30:00,bus_012,0.0,0.0
2012-07-07 09:30:00,bus_013,0.0,0.0
2012-07-07 09:30:00,bus_014,0.0,0.0
2012-07-07 09:30:00,busload_001,0.5388,0.1967
2012-07-07 09:30:00,busload_002,0.1522,0.0654
2012-07-07 09:30:00,busload_003,0.1527,0.0663
2012-07-07 09:30:00,busload_004,0.1415,0.0566
2012-07-07 09:30:00,busload_005,0.1685,0.076
2012-07-07 09:30:00,busload_006,0.12,0.0451
2012-07-07 09:30:00,busload_007,0.0315,0.0139
2012-07-07 09:30:00,busload_008,0.0766,0.0384
2012-07-07 09:30:00,busload_009,0.0249,0.0085
2012-07-07 09:30:00,busload_010,0.1756,0.0597
2012-07-07 09:30:00,busload_011,0.6377,0.2599
2012-07-07 09:30:00,busload_012,0.5951,0.154
2012-07-07 09:30:00,busload_013,0.2833,0.0852
2012-07-07 09:30:00,busload_014,0.3069,0.1252
2012-07-07 09:30:00,busload_015,0.1388,0.0653
2012-07-07 09:30:00,busload_016,0.1871,0.0934
2012-07-07 09:30:00,busload_017,0.1113,0.0525
2012-07-07 09:30:00,busload_018,0.0374,0.0153
2012-07-07 09:30:00,busload_019,0.2429,0.0993
2012-07-07 09:30:00,busload_020,0.0502,0.0251
2012-07-07 09:30:00,busload_021,0.131,0.0395
2012-07-07 09:30:00,busload_022,0.017,0.0051
