Timestep,Bus,P(kW),Q(kvar)
2012-07-08 04:30:00,bus_005,0.0261,0.0076
2012-07-08 05:00:00,bus_001,0.1027,0.0497
2012-07-08 05:00:00,bus_002,0.0213,0.0084
2012-07-08 05:00:00,bus_003,0.0331,0.0109
2012-07-08 05:00:00,bus_004,0.007,0.0025
2012-07-08 05:00:00,bus_005,0.0521,0.0152
2012-07-08 05:30:00,bus_001,0.1027,0.0497
2012-07-08 05:30:00,bus_002,0.0518,0.0205
2012-07-08 05:30:00,bus_003,0.0424,0.0139
2012-07-08 05:30:00,bus_004,0.0419,0.0152
2012-07-08 05:30:00,bus_005,0.062,0.0181
2012-07-08 06:00:00,bus_001,0.0915,0.0443
2012-07-08 06:00:00,bus_002,0.0766,0.0303
2012-07-08 06:00:00,bus_003,0.0543,0.0179
2012-07-08 06:00:00,bus_004,0.044,0.016
2012-07-08 06:00:00,bus_005,0.044,0.0128
