Timestep,Bus,Voltage (p.u.)
2012-07-07 12:00:00,busload_001,1.0383
2012-07-07 12:00:00,busload_002,1.0387
2012-07-07 12:00:00,busload_003,1.0372
2012-07-07 12:00:00,busload_004,1.039
2012-07-07 12:00:00,busload_005,1.0387
2012-07-07 12:00:00,busload_006,1.0383
2012-07-07 12:00:00,busload_007,1.0383
2012-07-07 12:00:00,busload_008,1.0371
2012-07-07 12:00:00,busload_009,1.0371
2012-07-07 12:00:00,busload_010,1.0365
2012-07-07 12:00:00,busload_011,1.0359
2012-07-07 12:00:00,busload_012,1.0359
2012-07-07 12:00:00,busload_013,1.0359
2012-07-07 12:00:00,busload_014,1.0357
2012-07-07 12:00:00,busload_015,1.0356
2012-07-07 12:00:00,busload_016,1.0356
2012-07-07 12:00:00,busload_017,1.0365
2012-07-07 12:00:00,busload_018,1.0357
2012-07-07 12:00:00,busload_019,1.0357
2012-07-07 12:00:00,busload_020,1.0357
2012-07-07 12:00:00,busload_021,1.0351
2012-07-07 12:00:00,busload_022,1.0359
2012-07-07 12:00:00,busload_023,1.0384
2012-07-07 12:00:00,busload_024,1.0387
2012-07-07 12:00:00,busload_025,1.035
2012-07-07 12:00:00,busload_026,1.0372
2012-07-07 12:00:00,busload_027,1.0357
2012-07-07 12:00:00,busload_028,1.0356
2012-07-07 12:00:00,busload_029,1.0384
2012-07-07 12:00:00,busload_030,1.0357
2012-07-07 12:00:00,busload_031,1.0372
2012-07-07 12:30:00,vsource,1.035
2012-07-07 12:30:00,bus_001,1.0352
2012-07-07 12:30:00,bus_002,1.0362
2012-07-07 12:30:00,bus_003,1.0359
2012-07-07 12:30:00,bus_004,1.0359
2012-07-07 12:30:00,bus_005,1.0366
2012-07-07 12:30:00,bus_006,1.0365
2012-07-07 12:30:00,bus_007,1.0388
2012-07-07 12:30:00,bus_008,1.0391
2012-07-07 12:30:00,bus_009,1.0369
